Planet_Name,Host_Star_Name,Number_of_Stars,Number_of_Planets,Number_of_Moons,Discovery_Method,Discovery_Year,Discovery_Facility,Orbital_Period_Days,Orbital_Distance_AU,Planet_Radius_Earth_Units,Planet_Radius_Jupiter_Units,Planet_Mass_Earth_Units,Planet_Mass_Jupiter_Units,Mass_Measurement_Type,Orbit_Eccentricity,Insolation_Flux_Earth_Units,Equilibrium_Temperature_K,Star_Spectral_Type,Star_Temperature_K,Star_Radius_Solar_Units,Star_Mass_Solar_Units,Star_Metallicity,Star_Metallicity_Ratio,Star_Surface_Gravity,Right_Ascension_Deg,Declination_Deg,Distance_From_Earth_Light_Years,Star_Gaia_Magnitude
Kepler-1543 b,Kepler-1543,1,1,0,Transit,2016,Kepler,6.96710269,0.0867,2.71,0.24177001,7.8,0.0245,M-R relationship,0.0,375.651,1774.0,Unknown,6561.0,1.65,1.39,0.07,[Fe/H],4.14,297.1242915,47.0369876,3006.45382304,13.4193
Kepler-1544 b,Kepler-1544,1,1,0,Transit,2016,Kepler,168.811174,0.54465,1.78,0.15880096,3.82,0.012,M-R relationship,0.0,0.833,269.0,Unknown,4886.0,0.74,0.81,0.02,[Fe/H],4.61,297.2852168,49.2124526,1092.9161404,14.039
Kepler-1545 b,Kepler-1545,1,1,0,Transit,2016,Kepler,163.692349,0.5442,2.7,0.24087787,7.75,0.0244,M-R relationship,0.0,1.408,274.0,Unknown,5201.0,0.8,0.84,-0.06,[Fe/H],4.57,298.8988313,47.4630696,2380.82138384,15.0334
Kepler-1546 b,Kepler-1546,1,1,0,Transit,2016,Kepler,19.5974971,0.1366,3.13,0.2792399,9.96,0.0313,M-R relationship,0.0,36.302,671.0,Unknown,5623.0,0.93,0.95,0.01,[Fe/H],4.48,297.5839183,41.5411993,3039.63041136,15.368
Kepler-1547 b,Kepler-1547,1,1,0,Transit,2016,Kepler,0.692979676,0.01556,0.9,0.08029262,0.666,0.0021,M-R relationship,0.0,5760.944,3186.0,Unknown,6078.0,1.18,1.12,0.04,[Fe/H],4.34,283.7640396,42.2220992,2200.5582242,13.4085
Kepler-1548 b,Kepler-1548,1,1,0,Transit,2016,Kepler,124.828679,0.4679,2.64,0.23552502,7.46,0.0235,M-R relationship,0.0,1.933,350.0,Unknown,5706.0,0.97,0.99,0.05,[Fe/H],4.46,287.4711817,46.0805706,2844.99029524,15.2455
Kepler-1549 b,Kepler-1549,1,1,0,Transit,2016,Kepler,214.886545,0.6687,2.57,0.22928004,7.13,0.0224,M-R relationship,0.0,1.184,286.0,Unknown,5324.0,0.84,0.88,0.02,[Fe/H],4.54,286.0524399,39.0960281,2619.20228112,15.1516
Kepler-155 b,Kepler-155,1,2,0,Transit,2014,Kepler,5.931194,0.056,2.09,0.186,5.02,0.0158,M-R relationship,0.0,23.5,614.0,M0 V,4508.0,0.62,0.635,-0.142,[M/H],4.684,288.4957831,51.0819286,957.26459844,14.24
Kepler-155 c,Kepler-155,1,2,0,Transit,2014,Kepler,52.661793,0.242,2.24,0.2,5.65,0.0178,M-R relationship,0.0,1.28,286.0,M0 V,4508.0,0.62,0.635,-0.142,[M/H],4.684,288.4957831,51.0819286,957.26459844,14.24
Kepler-1550 b,Kepler-1550,1,1,0,Transit,2016,Kepler,225.582809,0.7681,3.02,0.26942635,9.38,0.0295,M-R relationship,0.0,2.305,348.0,Unknown,5991.0,1.11,1.07,0.01,[Fe/H],4.38,287.7646113,38.2947076,3845.4118556,14.8841
Kepler-1551 b,Kepler-1551,1,1,0,Transit,2016,Kepler,24.4973698,0.1772,2.66,0.23730931,7.56,0.0238,M-R relationship,0.0,60.421,722.0,Unknown,6136.0,1.22,1.14,0.01,[Fe/H],4.32,295.7855238,39.9078956,4774.010603199999,15.0975
Kepler-1552 b,Kepler-1552,1,1,0,Transit,2016,Kepler,184.771853,0.6011,2.47,0.22035864,6.66,0.021,M-R relationship,0.0,1.854,268.0,Unknown,5202.0,0.78,0.85,-0.07,[Fe/H],4.58,291.6768669,38.8749152,2508.4527497599997,14.9308
Kepler-1553 b,Kepler-1553,1,1,0,Transit,2016,Kepler,4.24261881,0.0481,1.15,0.10259613,1.6,0.00505,M-R relationship,0.0,166.106,926.0,Unknown,5288.0,0.81,0.85,-0.09,[Fe/H],4.56,291.9191348,39.0221769,2258.93688664,14.9914
Kepler-1554 b,Kepler-1554,1,1,0,Transit,2016,Kepler,198.088774,0.59527,2.9,0.25872067,8.75,0.0275,M-R relationship,0.0,1.014,288.0,Unknown,5297.0,0.81,0.84,-0.1,[Fe/H],4.56,286.576016,41.7415762,3088.1983013199997,15.7147
Kepler-1555 b,Kepler-1555,1,1,0,Transit,2016,Kepler,8.10501635,0.0805,1.61,0.14363458,3.22,0.0101,M-R relationship,0.0,483.262,959.0,Unknown,5866.0,1.06,1.04,0.03,[Fe/H],4.4,287.6354587,45.7160327,6566.4009012,15.3259
Kepler-1556 b,Kepler-1556,1,1,0,Transit,2016,Kepler,8.82713457,0.0829,1.96,0.17485949,4.5,0.0142,M-R relationship,0.0,92.138,797.0,Unknown,5608.0,0.95,0.97,0.08,[Fe/H],4.47,288.3969751,40.2131892,3080.6738824,15.2978
Kepler-1557 b,Kepler-1557,1,1,0,Transit,2016,Kepler,3.74032496,0.049,1.53,0.13649746,2.96,0.0093,M-R relationship,0.0,645.543,1287.0,Unknown,6099.0,1.17,1.11,0.02,[Fe/H],4.34,293.8813592,46.8388172,4501.4746496,15.2987
Kepler-1558 b,Kepler-1558,1,1,0,Transit,2016,Kepler,3.50470358,0.04278,0.68,0.06066554,0.244,0.000768,M-R relationship,0.0,189.886,1019.0,Unknown,5101.0,0.79,0.83,0.0,[Fe/H],4.57,286.8194349,46.9117837,1062.41076972,13.5998
Kepler-1559 b,Kepler-1559,1,1,0,Transit,2016,Kepler,0.971915428,0.01835,0.72,0.0642341,0.299,0.000942,M-R relationship,0.0,1620.063,1609.0,Unknown,5316.0,0.82,0.86,-0.04,[Fe/H],4.55,292.2866565,42.0725948,2005.2951501199998,14.488
Kepler-156 b,Kepler-156,1,2,0,Transit,2014,Kepler,4.973456,0.054,2.3,0.205,5.9,0.0186,M-R relationship,0.0,135.077,867.0,Unknown,5094.0,0.807,0.864,0.2535,[M/H],4.552,290.2964214,37.7494271,1446.4464134799998,14.1564
Kepler-156 c,Kepler-156,1,2,0,Transit,2014,Kepler,15.906801,0.117,2.55,0.227,7.04,0.0221,M-R relationship,0.0,28.642,588.0,Unknown,5094.0,0.807,0.864,0.2535,[M/H],4.552,290.2964214,37.7494271,1446.4464134799998,14.1564
Kepler-1560 b,Kepler-1560,1,1,0,Transit,2016,Kepler,3.03195744,0.04175,0.89,0.07940048,0.64,0.00201,M-R relationship,0.0,593.919,1269.0,Unknown,5815.0,1.02,1.02,0.04,[Fe/H],4.43,292.7846013,43.21601,1638.92411532,13.3846
Kepler-1561 b,Kepler-1561,1,1,0,Transit,2016,Kepler,1.005207007,0.0194,1.09,0.09724329,1.32,0.00416,M-R relationship,0.0,2364.807,1682.0,Unknown,5957.0,1.11,1.07,0.04,[Fe/H],4.38,296.9235822,43.5664628,2736.6967185599997,14.648
Kepler-1562 b,Kepler-1562,1,1,0,Transit,2016,Kepler,64.2737752,0.3308,3.55,0.31670979,12.3,0.0388,M-R relationship,0.0,31.768,554.0,Unknown,5760.0,1.05,1.02,0.11,[Fe/H],4.41,294.4556567,46.7435353,6721.161923199999,15.2729
Kepler-1563 b,Kepler-1563,1,1,0,Transit,2016,Kepler,3.43276598,0.0442,0.75,0.06691052,0.347,0.00109,M-R relationship,0.0,390.57,1134.0,Unknown,5765.0,0.99,1.0,0.02,[Fe/H],4.45,288.5735936,51.4727698,2011.39426732,13.5682
