Planet_Name,Host_Star_Name,Number_of_Stars,Number_of_Planets,Number_of_Moons,Discovery_Method,Discovery_Year,Discovery_Facility,Orbital_Period_Days,Orbital_Distance_AU,Planet_Radius_Earth_Units,Planet_Radius_Jupiter_Units,Planet_Mass_Earth_Units,Planet_Mass_Jupiter_Units,Mass_Measurement_Type,Orbit_Eccentricity,Insolation_Flux_Earth_Units,Equilibrium_Temperature_K,Star_Spectral_Type,Star_Temperature_K,Star_Radius_Solar_Units,Star_Mass_Solar_Units,Star_Metallicity,Star_Metallicity_Ratio,Star_Surface_Gravity,Right_Ascension_Deg,Declination_Deg,Distance_From_Earth_Light_Years,Star_Gaia_Magnitude
Kepler-1484 b,Kepler-1484,1,1,0,Transit,2016,Kepler,30.4549136,0.1939,2.11,0.18824159,5.1,0.016,M-R relationship,0.0,35.92,624.0,Unknown,5730.0,0.92,0.94,-0.17,[Fe/H],4.49,292.6842738,38.1262604,9392.738334799998,15.2474
Kepler-1485 b,Kepler-1485,1,1,0,Transit,2016,Kepler,19.9157725,0.14732,1.47,0.13114462,2.76,0.00869,M-R relationship,0.0,85.176,728.0,Unknown,6087.0,1.12,1.11,0.02,[Fe/H],4.39,298.0954404,44.7370612,2008.0120295999998,13.1796
Kepler-1486 b,Kepler-1486,1,1,0,Transit,2016,Kepler,54.6495759,0.2846,2.32,0.20697654,5.99,0.0189,M-R relationship,0.0,22.372,538.0,Unknown,5965.0,1.12,1.08,0.06,[Fe/H],4.38,290.5903907,45.4396955,5770.1562584,15.2937
Kepler-1487 b,Kepler-1487,1,2,0,Transit,2016,Kepler,7.31946363,0.0898,2.13,0.19002587,5.18,0.0163,M-R relationship,0.0,323.294,1682.0,Unknown,6541.0,1.63,1.38,0.04,[Fe/H],4.16,295.4980737,38.6444499,3309.2440072,13.4508
Kepler-1487 c,Kepler-1487,1,2,0,Transit,2023,Kepler,35.8007112,0.2588,7.97,0.711037,48.7,0.153,M-R relationship,0.0,227.68,991.0,Unknown,5745.0,3.955,1.801,0.4,[Fe/H],3.499,295.4980737,38.6444499,3309.2440072,13.4508
Kepler-1488 b,Kepler-1488,1,2,0,Transit,2016,Kepler,39.8189932,0.24153,1.86,0.16593809,4.12,0.013,M-R relationship,0.0,73.335,650.0,Unknown,5820.0,1.31,1.05,0.06,[Fe/H],4.22,286.6464265,49.9377735,2954.402587,13.0767
Kepler-1488 c,Kepler-1488,1,2,0,Transit,2021,Kepler,6.158269882,0.06959,1.65156749,0.14734324,3.37,0.0106,M-R relationship,0.0,760.6,1212.0,Unknown,5710.0,1.524,1.003,0.0,[Fe/H],4.073,286.6464265,49.9377735,2954.402587,13.0767
Kepler-1489 b,Kepler-1489,1,2,0,Transit,2016,Kepler,82.294751,0.3679,1.77,0.15790882,3.78,0.0119,M-R relationship,0.0,11.893,400.0,G,5655.0,0.9,0.93,-0.13,[Fe/H],4.51,281.2957984,44.4654063,4184.744557999999,14.8084
Kepler-1489 c,Kepler-1489,1,2,0,Transit,2024,Kepler,0.680741,0.0761,0.51,0.04549923,0.087,0.000274,M-R relationship,0.0,106.484,833.0,G,5565.53,0.957,0.977,0.14,[Fe/H],4.51,281.2957984,44.4654063,4184.744557999999,14.8084
Kepler-149 b,Kepler-149,1,3,0,Transit,2014,Kepler,29.198943,0.184,4.21,0.376,16.5,0.0519,M-R relationship,0.0,23.64,540.0,Unknown,5381.0,0.953,1.013,0.3805,[M/H],4.465,285.8537014,38.3840916,1862.4616530399999,14.0194
Kepler-149 c,Kepler-149,1,3,0,Transit,2014,Kepler,55.328328,0.281,1.61,0.144,3.22,0.0101,M-R relationship,0.0,10.084,436.0,Unknown,5381.0,0.953,1.013,0.3805,[M/H],4.465,285.8537014,38.3840916,1862.4616530399999,14.0194
Kepler-149 d,Kepler-149,1,3,0,Transit,2014,Kepler,160.018032,0.571,3.96,0.353,14.9,0.0467,M-R relationship,0.0,2.446,306.0,Unknown,5381.0,0.953,1.013,0.3805,[M/H],4.465,285.8537014,38.3840916,1862.4616530399999,14.0194
Kepler-1490 b,Kepler-1490,1,1,0,Transit,2016,Kepler,92.4362973,0.3729,3.04,0.27121063,9.48,0.0298,M-R relationship,0.0,3.788,348.0,Unknown,5515.0,0.87,0.9,-0.08,[Fe/H],4.52,295.6935734,42.6094543,2814.4653551999995,15.4179
Kepler-1491 b,Kepler-1491,1,2,0,Transit,2016,Kepler,16.5861762,0.127,1.51,0.13471318,2.89,0.00909,M-R relationship,0.0,138.108,821.0,Unknown,5728.0,0.99,1.0,0.06,[Fe/H],4.45,293.6297645,45.7406293,6737.0457204,15.5695
Kepler-1491 c,Kepler-1491,1,2,0,Transit,2023,Kepler,61.569765,0.3045,2.44,0.21768259,6.53,0.0205,M-R relationship,0.0,18.66,530.0,Unknown,5626.0,1.389,0.991,0.14,[Fe/H],4.149,293.6297645,45.7406293,6737.0457204,15.5695
Kepler-1492 b,Kepler-1492,1,1,0,Transit,2016,Kepler,16.75255007,0.1262,1.49,0.1329289,2.83,0.00889,M-R relationship,0.0,11.523,801.0,Unknown,4712.0,0.72,0.77,0.06,[Fe/H],4.62,288.5970695,41.0363254,1081.38000268,14.4962
Kepler-1493 b,Kepler-1493,1,1,0,Transit,2016,Kepler,15.0217983,0.1197,1.41,0.12579177,2.57,0.00809,M-R relationship,0.0,137.91,874.0,Unknown,5863.0,1.29,1.06,0.06,[Fe/H],4.24,288.5493683,38.5651973,1810.33213956,13.5532
Kepler-1494 b,Kepler-1494,1,1,0,Transit,2016,Kepler,91.080482,0.3982,3.07,0.27388706,9.64,0.0303,M-R relationship,0.0,9.113,415.0,Unknown,5659.0,0.94,0.96,0.01,[Fe/H],4.48,282.6573891,43.1625334,4192.6701488,15.217
Kepler-1495 b,Kepler-1495,1,1,0,Transit,2016,Kepler,85.273256,0.3677,2.94,0.26228923,8.96,0.0282,M-R relationship,0.0,9.1,443.0,Unknown,5831.0,1.04,1.03,0.06,[Fe/H],4.42,286.1306907,38.7795494,4421.175042399999,15.6247
Kepler-1496 b,Kepler-1496,1,1,0,Transit,2016,Kepler,64.6588017,0.3211,2.22,0.19805513,5.56,0.0175,M-R relationship,0.0,18.383,535.0,Unknown,6182.0,1.27,1.18,0.05,[Fe/H],4.29,293.9739359,45.3507167,4265.0115496,14.6819
Kepler-1497 b,Kepler-1497,1,1,0,Transit,2016,Kepler,8.74199772,0.0817,1.66,0.14809528,3.39,0.0107,M-R relationship,0.0,172.38,924.0,Unknown,5675.0,0.95,0.96,0.01,[Fe/H],4.47,296.196155,45.6343124,3659.47032,15.3761
Kepler-1498 b,Kepler-1498,1,1,0,Transit,2016,Kepler,48.051405,0.2528,1.33,0.11865465,2.33,0.00733,M-R relationship,0.0,9.86,564.0,Unknown,5256.0,0.81,0.86,-0.01,[Fe/H],4.56,284.7780883,44.9167513,2413.5544,15.0997
Kepler-1499 b,Kepler-1499,1,1,0,Transit,2016,Kepler,44.2008,0.23225,1.19,0.10616469,1.81,0.0057,M-R relationship,0.0,7.371,409.0,Unknown,5097.0,0.78,0.82,-0.01,[Fe/H],4.58,283.986348,41.6505091,1010.6563356400001,13.5155
Kepler-15 b,Kepler-15,1,1,0,Transit,2011,Kepler,4.942782,0.05714,10.76,0.96,209.76,0.66,Mass,0.06,430.677,1251.0,Unknown,5515.0,0.992,1.018,0.36,[Fe/H],4.46,296.2005506,49.1400304,2411.63660272,13.7136
Kepler-150 b,Kepler-150,1,5,0,Transit,2014,Kepler,3.428054,0.044,1.25,0.112,2.1,0.0066,M-R relationship,0.0,367.262,1131.0,Unknown,5560.0,0.939,0.956,0.12,[Fe/H],4.466,288.2341025,40.520897,2906.35002352,14.9743
Kepler-150 c,Kepler-150,1,5,0,Transit,2014,Kepler,7.381998,0.073,3.69,0.329,13.2,0.0415,M-R relationship,0.0,132.091,876.0,Unknown,5560.0,0.939,0.956,0.12,[Fe/H],4.466,288.2341025,40.520897,2906.35002352,14.9743
Kepler-150 d,Kepler-150,1,5,0,Transit,2014,Kepler,12.56093,0.104,2.79,0.249,8.2,0.0258,M-R relationship,0.0,65.142,734.0,Unknown,5560.0,0.939,0.956,0.12,[Fe/H],4.466,288.2341025,40.520897,2906.35002352,14.9743
Kepler-150 e,Kepler-150,1,5,0,Transit,2014,Kepler,30.826557,0.189,3.12,0.278,9.91,0.0312,M-R relationship,0.0,19.671,544.0,Unknown,5560.0,0.939,0.956,0.12,[Fe/H],4.466,288.2341025,40.520897,2906.35002352,14.9743
Kepler-150 f,Kepler-150,1,5,0,Transit,2017,Kepler,637.2093,1.24,3.64,0.32473905,12.9,0.0405,M-R relationship,0.0,106.484,833.0,Unknown,5528.0,0.905339,0.97,0.12,[Fe/H],4.51122,288.2341025,40.520897,2906.35002352,14.9743
Kepler-1500 b,Kepler-1500,1,1,0,Transit,2016,Kepler,15.0330105,0.1236,1.2,0.10705683,1.87,0.00588,M-R relationship,0.0,131.818,928.0,Unknown,5845.0,1.0,1.0,-0.05,[Fe/H],4.44,288.883474,39.7446547,3971.9929991999998,14.5804
Kepler-1501 b,Kepler-1501,1,1,0,Transit,2016,Kepler,14.5564533,0.11592,1.56,0.13917388,3.05,0.00961,M-R relationship,0.0,100.001,787.0,Unknown,6229.0,1.3,1.2,0.04,[Fe/H],4.28,289.918589,42.001428,2443.1041336,13.6458
Kepler-1502 b,Kepler-1502,1,1,0,Transit,2016,Kepler,41.7083629,0.2482,3.18,0.2837006,10.2,0.0322,M-R relationship,0.0,77.324,608.0,Unknown,6666.0,1.72,1.44,0.05,[Fe/H],4.13,296.1079271,39.3199201,4938.067071199999,14.0931
Kepler-1503 b,Kepler-1503,1,1,0,Transit,2016,Kepler,96.16987,0.3771,2.27,0.20251584,5.77,0.0182,M-R relationship,0.0,5.636,321.0,Unknown,5069.0,0.74,0.77,-0.19,[Fe/H],4.59,293.7271604,42.8067119,3997.2700891999993,15.7862
Kepler-1504 b,Kepler-1504,1,1,0,Transit,2016,Kepler,82.304003,0.3704,2.13,0.19002587,5.18,0.0163,M-R relationship,0.0,25.17,485.0,Unknown,5393.0,0.81,0.85,-0.17,[Fe/H],4.55,289.7119947,50.1282265,7944.9644664,15.6311
Kepler-1505 b,Kepler-1505,1,1,0,Transit,2016,Kepler,30.8609366,0.18298,0.93,0.08296904,0.749,0.00236,M-R relationship,0.0,36.121,525.0,Unknown,5686.0,0.86,0.93,-0.18,[Fe/H],4.54,292.0020614,41.7869639,1614.95491088,12.9258
Kepler-1506 b,Kepler-1506,1,1,0,Transit,2016,Kepler,14.0329154,0.1168,1.32,0.11776251,2.3,0.00724,M-R relationship,0.0,235.807,783.0,Unknown,5676.0,0.93,0.95,-0.05,[Fe/H],4.49,290.1498822,41.4645625,7716.916191199999,15.6243
Kepler-1507 b,Kepler-1507,1,1,0,Transit,2016,Kepler,16.0506213,0.11946,0.84,0.07493978,0.52,0.00164,M-R relationship,0.0,30.476,630.0,Unknown,5410.0,0.85,0.89,-0.03,[Fe/H],4.53,288.5616269,46.5361247,1045.25822568,13.1038
Kepler-1508 b,Kepler-1508,1,1,0,Transit,2016,Kepler,20.7056504,0.1629,1.33,0.11865465,2.33,0.00733,M-R relationship,0.0,116.145,967.0,Unknown,6158.0,1.22,1.14,0.01,[Fe/H],4.32,298.1188802,40.3750316,4110.4788368,14.3466
Kepler-1509 b,Kepler-1509,1,1,0,Transit,2016,Kepler,25.4338197,0.1707,1.85,0.16504595,4.08,0.0128,M-R relationship,0.0,83.081,667.0,Unknown,5780.0,0.99,1.0,0.03,[Fe/H],4.45,283.7977792,46.9310139,6532.7742176,15.3316
Kepler-151 b,Kepler-151,1,2,0,Transit,2014,Kepler,15.228958,0.116,3.06,0.273,9.59,0.0302,M-R relationship,0.0,40.728,639.0,Unknown,5460.0,0.83,0.87,0.1245,[M/H],4.555,292.1627933,41.0231947,2119.74981364,14.7189
Kepler-151 c,Kepler-151,1,2,0,Transit,2014,Kepler,24.674612,0.16,2.09,0.186,5.02,0.0158,M-R relationship,0.0,21.407,544.0,Unknown,5460.0,0.83,0.87,0.1245,[M/H],4.555,292.1627933,41.0231947,2119.74981364,14.7189
Kepler-1510 b,Kepler-1510,1,1,0,Transit,2016,Kepler,84.703921,0.4089,3.36,0.29975912,11.2,0.0354,M-R relationship,0.0,14.036,537.0,Unknown,6200.0,1.28,1.19,0.04,[Fe/H],4.29,298.9591432,48.2578295,5532.421149999999,15.1424
Kepler-1511 b,Kepler-1511,1,1,0,Transit,2016,Kepler,23.2382792,0.1753,1.68,0.14987956,3.46,0.0109,M-R relationship,0.0,228.219,903.0,Unknown,6064.0,1.29,1.17,0.14,[Fe/H],4.28,288.4211892,43.179773,4812.757935999999,13.5024
Kepler-1512 b,Kepler-1512,1,1,0,Transit,2016,Kepler,20.35972599,0.13693,1.18,0.10527255,1.76,0.00553,M-R relationship,0.0,1.6,322.0,Unknown,4372.0,0.67,0.73,0.2,[Fe/H],4.64,289.2744976,44.4704056,528.37272,13.2634
Kepler-1513 b,Kepler-1513,1,2,0,Transit,2016,Kepler,160.8842,0.56971,8.594,0.76670665,48.30991786,0.152,Mass,0.306,2.23,346.0,G V,5491.0,0.95,0.943,0.17,[M/H],4.46,289.7917561,39.2852655,1139.09004532,12.9559
Kepler-1513 c,Kepler-1513,1,2,0,Transit Timing Variations,2023,Multiple Observatories,841.4,0.1732868498,11.0,0.984,84.54235626,0.266,Mass,0.125,56.729,570.0,G V,5491.0,0.95,0.943,0.17,[M/H],4.46,289.7917561,39.2852655,1139.09004532,12.9559
Kepler-1514 b,Kepler-1514,1,2,0,Transit,2016,Kepler,217.83184,0.753,12.419572,1.108,1678.1424,5.28,Mass,0.401,3.23,387.9,Unknown,6145.0,1.289,1.196,0.119,[Fe/H],4.295,292.6274943,37.8601653,1295.7916955199998,11.8292
Kepler-1514 c,Kepler-1514,1,2,0,Transit,2020,Kepler,10.514181,0.0997,1.1758241,0.1049,1.74,0.00546,M-R relationship,0.32,193.0,1066.0,Unknown,6145.0,1.289,1.196,0.119,[Fe/H],4.295,292.6274943,37.8601653,1295.7916955199998,11.8292
Kepler-1515 b,Kepler-1515,1,1,0,Transit,2016,Kepler,214.3114164,0.75235,9.55,0.85199393,66.2,0.208,M-R relationship,0.0,6.017,380.0,Unknown,6511.0,1.41,1.3,0.07,[Fe/H],4.26,290.9739057,48.1782059,1759.02780076,11.9975
Kepler-1516 b,Kepler-1516,1,1,0,Transit,2016,Kepler,7.25931979,0.0718,1.75,0.15612454,3.71,0.0117,M-R relationship,0.0,615.253,967.0,Unknown,5904.0,1.07,1.04,0.03,[Fe/H],4.4,291.4945795,44.5234227,4432.296961999999,14.4469
Kepler-1517 b,Kepler-1517,1,1,0,Transit,2016,Kepler,5.546083665,0.078,9.76,0.87072888,68.7,0.216,M-R relationship,0.0,1526.983,2336.0,Unknown,7010.0,1.95,1.58,0.01,[Fe/H],4.06,287.8072115,43.1888008,2763.51652644,12.1739
Kepler-1518 b,Kepler-1518,1,2,0,Transit,2016,Kepler,5.11177904,0.0593,3.05,0.27210277,9.53,0.03,M-R relationship,0.0,1079.458,1351.0,Unknown,6846.0,1.88,1.54,0.06,[Fe/H],4.08,300.3323404,44.9861065,2946.8520756,13.2803
Kepler-1518 c,Kepler-1518,1,2,0,Transit,2023,Kepler,9.6310258,0.0905,2.9,0.25872112,8.75,0.0275,M-R relationship,0.0,338.33,1094.0,Unknown,6432.0,1.345,1.06,-0.34,[Fe/H],4.207,300.3323404,44.9861065,2946.8520756,13.2803
Kepler-1519 b,Kepler-1519,1,1,0,Transit,2016,Kepler,240.7989397,0.7655,7.06,0.62985101,39.6,0.125,M-R relationship,0.0,3.944,342.0,Unknown,5644.0,0.91,0.94,-0.07,[Fe/H],4.5,296.6679448,49.4617774,4701.9627428,14.8034
Kepler-152 b,Kepler-152,1,2,0,Transit,2014,Kepler,18.207973,0.124,2.79,0.249,8.2,0.0258,M-R relationship,0.0,21.084,551.0,Unknown,5088.0,0.724,0.779,-0.12,[Fe/H],4.605,286.8653826,41.9889571,1438.6415003999998,14.2437
Kepler-152 c,Kepler-152,1,2,0,Transit,2014,Kepler,88.255055,0.356,2.39,0.213,6.3,0.0198,M-R relationship,0.0,2.57,326.0,Unknown,5088.0,0.724,0.779,-0.12,[Fe/H],4.605,286.8653826,41.9889571,1438.6415003999998,14.2437
Kepler-1520 b,Kepler-1520,1,1,0,Transit,2016,Kepler,0.653553572,0.0129,5.77,0.51476492,28.1,0.0885,M-R relationship,0.0,1134.386,1437.0,Unknown,4677.0,0.71,0.76,0.04,[Fe/H],4.61,290.9662102,51.5047656,1982.75777052,15.6932
Kepler-1521 b,Kepler-1521,1,1,0,Transit,2016,Kepler,47.14840805,0.23476,2.5,0.22303506,6.8,0.0214,M-R relationship,0.0,5.122,391.0,Unknown,5042.0,0.76,0.81,-0.05,[Fe/H],4.59,292.6903779,37.8350549,675.08747348,12.8476
Kepler-1522 b,Kepler-1522,1,1,0,Transit,2016,Kepler,1.847889171,0.0288,1.73,0.15434026,3.64,0.0115,M-R relationship,0.0,1513.457,1374.0,Unknown,5706.0,0.93,0.96,-0.07,[Fe/H],4.49,289.8432347,52.0702094,2655.3175349999997,14.1963
Kepler-1523 b,Kepler-1523,1,1,0,Transit,2016,Kepler,0.93875077,0.01867,1.58,0.14095816,3.12,0.00982,M-R relationship,0.0,2218.145,1676.0,Unknown,5708.0,0.96,0.97,0.0,[Fe/H],4.46,296.0540705,45.8270447,2823.19328976,14.8369
Kepler-1524 b,Kepler-1524,1,1,0,Transit,2016,Kepler,70.9674603,0.3392,3.54,0.31581765,12.3,0.0386,M-R relationship,0.0,8.443,438.0,Unknown,6179.0,1.25,1.17,0.04,[Fe/H],4.31,293.8853557,39.5198348,1245.17554588,12.7003
Kepler-1525 b,Kepler-1525,1,1,0,Transit,2016,Kepler,2.416601183,0.03557,0.91,0.08118476,0.693,0.00218,M-R relationship,0.0,715.106,1343.0,Unknown,5748.0,1.04,1.07,0.27,[Fe/H],4.44,290.5594479,49.9428629,1249.14160284,12.6919
Kepler-1526 b,Kepler-1526,1,1,0,Transit,2016,Kepler,3.908632005,0.0418,2.43,0.21679008,6.48,0.0204,M-R relationship,0.0,99.097,787.0,Unknown,4601.0,0.69,0.73,-0.01,[Fe/H],4.62,285.1197266,38.8664618,1812.0379354399997,15.6551
Kepler-1527 b,Kepler-1527,1,1,0,Transit,2016,Kepler,160.129918,0.6276,4.77,0.4255509,20.4,0.0641,M-R relationship,0.0,7.813,450.0,Unknown,6224.0,1.32,1.21,0.07,[Fe/H],4.27,297.4144457,46.0608077,6008.2175228,15.0782
Kepler-1528 b,Kepler-1528,1,1,0,Transit,2016,Kepler,1.791110205,0.0296,1.46,0.13025248,2.73,0.00859,M-R relationship,0.0,1106.851,1549.0,Unknown,5857.0,1.03,1.03,0.03,[Fe/H],4.43,287.4029864,46.5740084,2666.4361930399996,14.4764
Kepler-1529 b,Kepler-1529,1,1,0,Transit,2016,Kepler,5.33905686,0.0525,2.1,0.18734945,5.06,0.0159,M-R relationship,0.0,115.765,817.0,Unknown,5048.0,0.77,0.81,-0.03,[Fe/H],4.58,289.8707469,41.0407482,2155.93682184,15.3885
Kepler-153 b,Kepler-153,1,2,0,Transit,2014,Kepler,18.870227,0.129,2.92,0.261,8.85,0.0279,M-R relationship,0.0,21.609,621.0,Unknown,5404.0,0.892,0.756,-0.27,[Fe/H],4.446,282.460502,48.2570293,1498.2562940799999,14.2493
Kepler-153 c,Kepler-153,1,2,0,Transit,2014,Kepler,46.90232,0.237,2.53,0.226,6.94,0.0218,M-R relationship,0.0,6.422,458.0,Unknown,5404.0,0.892,0.756,-0.27,[Fe/H],4.446,282.460502,48.2570293,1498.2562940799999,14.2493
Kepler-1530 b,Kepler-1530,1,3,0,Transit,2016,Kepler,2.5904434,0.03553,1.64,0.146311,3.33,0.0105,M-R relationship,0.0,353.561,1484.0,Unknown,5477.0,0.88,0.92,0.03,[Fe/H],4.52,288.1624396,48.165153,1597.7599665599998,14.0055
Kepler-1530 c,Kepler-1530,1,3,0,Transit,2016,Kepler,5.3227406,0.05744,1.65,0.14720314,3.36,0.0106,M-R relationship,0.0,135.179,1167.0,Unknown,5477.0,0.88,0.92,0.03,[Fe/H],4.52,288.1624396,48.165153,1597.7599665599998,14.0055
Kepler-1530 d,Kepler-1530,1,3,0,Transit,2021,Kepler,9.20761013,0.08276,3.27870115,0.29250663,10.8,0.0339,M-R relationship,0.0,69.2,972.0,Unknown,5678.0,1.303,1.015,0.2,[Fe/H],4.215,288.1624396,48.165153,1597.7599665599998,14.0055
Kepler-1531 b,Kepler-1531,1,1,0,Transit,2016,Kepler,1.138543376,0.02204,1.11,0.09902757,1.41,0.00444,M-R relationship,0.0,4457.2,2537.0,Unknown,6260.0,1.27,1.16,-0.03,[Fe/H],4.29,285.146622,39.3708055,2173.2883210399996,13.1712
Kepler-1532 b,Kepler-1532,1,1,0,Transit,2016,Kepler,1.093663559,0.0206,1.35,0.12043893,2.39,0.00752,M-R relationship,0.0,1705.762,1681.0,Unknown,5559.0,0.88,0.91,-0.1,[Fe/H],4.51,296.902784,41.1981424,2603.5272237599997,14.8028
Kepler-1533 b,Kepler-1533,1,1,0,Transit,2016,Kepler,308.5471,0.93416,3.46,0.30868052,11.8,0.0372,M-R relationship,0.0,4.786,330.0,Unknown,6431.0,1.51,1.31,0.03,[Fe/H],4.2,295.9755645,44.7133739,3153.27946956,13.1678
Kepler-1534 b,Kepler-1534,1,1,0,Transit,2016,Kepler,5.71668872,0.0599,1.89,0.16861451,4.23,0.0133,M-R relationship,0.0,196.51,955.0,Unknown,5442.0,0.86,0.9,-0.01,[Fe/H],4.52,292.395373,43.8691326,3610.54692,16.2352
Kepler-1535 b,Kepler-1535,1,1,0,Transit,2016,Kepler,138.9442,0.5329,2.55,0.22749576,7.04,0.0221,M-R relationship,0.0,5.384,384.0,Unknown,6021.0,1.11,1.08,0.0,[Fe/H],4.38,286.613685,38.8919507,2928.0100434799997,14.1798
Kepler-1536 b,Kepler-1536,1,1,0,Transit,2016,Kepler,364.758031,0.8507,3.14,0.28013204,10.0,0.0315,M-R relationship,0.0,0.193,166.0,Unknown,4434.0,0.67,0.71,0.05,[Fe/H],4.64,291.5852554,45.7158742,1263.0325868799998,15.1407
Kepler-1537 b,Kepler-1537,1,1,0,Transit,2016,Kepler,1.444453798,0.0245,1.18,0.10527255,1.76,0.00553,M-R relationship,0.0,713.168,1800.0,Unknown,5079.0,0.77,0.81,-0.08,[Fe/H],4.58,294.3853917,43.8254461,1687.17889552,14.5457
Kepler-1538 b,Kepler-1538,1,1,0,Transit,2016,Kepler,175.138819,0.6095,2.82,0.25158355,8.35,0.0263,M-R relationship,0.0,1.989,346.0,Unknown,5837.0,1.03,1.03,0.02,[Fe/H],4.42,283.345611,45.2743573,3670.2334679999994,15.2279
Kepler-1539 b,Kepler-1539,1,1,0,Transit,2016,Kepler,133.3036741,0.4765,2.7,0.24087787,7.75,0.0244,M-R relationship,0.0,1.572,301.0,Unknown,5176.0,0.8,0.84,-0.01,[Fe/H],4.57,284.2194566,44.2685146,2440.71014856,15.3085
Kepler-154 b,Kepler-154,1,5,0,Transit,2014,Kepler,33.040532,0.198,2.26,0.202,5.73,0.018,M-R relationship,0.0,28.11,561.0,Unknown,5690.0,1.001,0.933,0.02,[Fe/H],4.415,289.7805393,49.8965624,2985.0188507199996,14.5121
Kepler-154 c,Kepler-154,1,5,0,Transit,2014,Kepler,62.303276,0.303,2.95,0.263,9.01,0.0283,M-R relationship,0.0,12.071,454.0,Unknown,5690.0,1.001,0.933,0.02,[Fe/H],4.415,289.7805393,49.8965624,2985.0188507199996,14.5121
Kepler-154 d,Kepler-154,1,5,0,Transit,2016,Kepler,20.54981883,0.14354,3.84,0.34258185,14.1,0.0444,M-R relationship,0.0,53.002,657.0,Unknown,5769.0,0.98,0.98,-0.04,[Fe/H],4.45,289.7805393,49.8965624,2985.0188507199996,14.5121
Kepler-154 e,Kepler-154,1,5,0,Transit,2016,Kepler,3.93276465,0.04766,1.5,0.13382104,2.86,0.00899,M-R relationship,0.0,480.405,1140.0,Unknown,5769.0,0.98,0.98,-0.04,[Fe/H],4.45,289.7805393,49.8965624,2985.0188507199996,14.5121
Kepler-154 f,Kepler-154,1,5,0,Transit,2016,Kepler,9.91935684,0.08832,1.5,0.13382104,2.86,0.00899,M-R relationship,0.0,139.884,838.0,Unknown,5769.0,0.98,0.98,-0.04,[Fe/H],4.45,289.7805393,49.8965624,2985.0188507199996,14.5121
Kepler-1540 b,Kepler-1540,2,1,0,Transit,2016,Kepler,125.4131177,0.4426,2.49,0.22214292,6.76,0.0213,M-R relationship,0.0,0.849,266.0,Unknown,4540.0,0.69,0.74,0.1,[Fe/H],4.63,283.3445555,41.2017544,798.9517376,14.0831
Kepler-1541 b,Kepler-1541,1,1,0,Transit,2016,Kepler,8.40691199,0.07555,1.16,0.10348827,1.65,0.00521,M-R relationship,0.0,75.56,1048.0,Unknown,5282.0,0.81,0.86,-0.04,[Fe/H],4.56,283.7870875,48.0296019,1359.06595952,13.7908
Kepler-1542 b,Kepler-1542,1,4,0,Transit,2016,Kepler,3.95116882,0.04765,0.76,0.06780266,0.363,0.00114,M-R relationship,0.0,518.437,1160.0,Unknown,5564.0,0.99,0.94,0.06,[Fe/H],4.41,285.7284757,42.6544651,1301.7342578399998,12.5876
Kepler-1542 c,Kepler-1542,1,4,0,Transit,2016,Kepler,2.89223021,0.0387,0.65,0.05798912,0.208,0.000653,M-R relationship,0.0,786.082,1287.0,Unknown,5564.0,0.99,0.94,0.06,[Fe/H],4.41,285.7284757,42.6544651,1301.7342578399998,12.5876
Kepler-1542 d,Kepler-1542,1,4,0,Transit,2016,Kepler,5.99273738,0.0629,0.87,0.0776162,0.59,0.00186,M-R relationship,0.0,297.806,1010.0,Unknown,5564.0,0.99,0.94,0.06,[Fe/H],4.41,285.7284757,42.6544651,1301.7342578399998,12.5876
Kepler-1542 e,Kepler-1542,1,4,0,Transit,2016,Kepler,5.10115756,0.05649,0.76,0.06780266,0.363,0.00114,M-R relationship,0.0,369.999,1065.0,Unknown,5564.0,0.99,0.94,0.06,[Fe/H],4.41,285.7284757,42.6544651,1301.7342578399998,12.5876
